Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
8M,8MHz,Resonator_SMD_muRata_CSTxExxV-3Pin_3.0x1.1mm,88.9,22.86,90,bottom
C4,0.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,20.32,15.875,0,bottom
C5,10u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,24.13,13.0175,90,bottom
C7,100u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,28.2575,12.7,180,bottom
C10,0.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,97.155,33.02,0,bottom
C11,10u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,19.05,28.575,180,bottom
C12,0.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,28.575,30.48,270,bottom
C13,100u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,17.78,31.75,270,bottom
C14,2.2u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,27.94,37.465,0,bottom
C15,2.2u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,24.13,41.91,180,bottom
C16,0.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,5.08,43.18,270,bottom
C17,0.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,76.835,35.2425,180,bottom
C22,0.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,4.445,19.05,90,bottom
D2,RB160M,D_2616Metric_HandSolder,20.32,10.16,180,bottom
D4,RB160M,D_2616Metric_HandSolder,24.13,25.4,0,bottom
D5,RB520S,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,19.685,31.75,90,bottom
D9,RB520S,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,26.9875,40.9575,90,bottom
LS1,Speaker,Buzzer_Murata_PKMCS0909E4000-R1,81.28,7.62,0,bottom
Q3,NPN,SC-59,88.9,7.62,180,bottom
R1,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,3.81,35.56,180,bottom
R2,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,3.81,33.02,0,bottom
R5,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,20.32,12.065,0,bottom
R6,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,20.32,13.97,0,bottom
R8,120,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,94.615,27.94,90,bottom
R12,4.7k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,97.155,22.86,0,bottom
R13,1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,43.815,47.625,180,bottom
R15,1.5k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,47.625,47.625,0,bottom
R16,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,74.803,32.639,270,bottom
R17,1.5k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,22.86,20.32,180,bottom
R18,1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,26.67,20.32,180,bottom
R19,1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,88.265,26.9475,270,bottom
R20,1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,88.9,16.51,0,bottom
R21,1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,88.9,14.605,0,bottom
R22,1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,88.9,12.7,0,bottom
R23,1.5k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,81.915,18.415,90,bottom
R24,1.5k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,83.82,18.415,90,bottom
R25,1.5k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,85.725,18.415,90,bottom
R26,1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,88.265,30.48,90,bottom
R27,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,87.63,40.64,90,bottom
R28,4.7k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,88.9,10.795,0,bottom
R29,1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,15.24,45.72,270,bottom
R30,1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,27.94,45.72,270,bottom
R31,1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,24.765,45.72,270,bottom
R32,1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,21.59,45.72,270,bottom
R33,1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,18.415,45.72,270,bottom
R39,1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,95.25,19.685,180,bottom
U4,2551,SOIC-8_3.9x4.9mm_P1.27mm,98.425,27.94,270,bottom
U5,5V,SOT-223-3_TabPin2,24.13,31.75,90,bottom
U6,3V3,SOT-23W,24.13,38.735,270,bottom
U7,MCP2515,SOIC-18W_7.5x11.6mm_P1.27mm,81.28,27.94,180,bottom
